uhf_pk,category,name,original_name,source_epg_channel_id,source_country,target_xmltv_id,target_name,target_country,target_guide_sites,match_method,confidence,review,notes,logo_url
98,Bein Channels,AR-beinJeem HD,AR-beinJeem HD,JeemTV.qa,,,,,,unmapped,0.000,unmapped,source EPG id present but no target-country guide channel: JeemTV.qa,https://cms123456.com/assets/uploads/files/04bfa-jeem_tv_qa.png
100,Bein Channels,Ar-Bein-Junior,Ar-Bein-Junior,,,,,,,unmapped,0.000,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/a578a-bejunior.jpg
509,Bein Channels,Ar||Bein BBC Earth,Ar||Bein BBC Earth,BBCEarth.qa,,,,,,unmapped,0.000,unmapped,source EPG id present but no target-country guide channel: BBCEarth.qa,https://cms123456.com/assets/uploads/files/9143b-bbc-earth-hd-buyuk.png
508,Bein Channels,Ar||Bein Fox Rewayat,Ar||Bein Fox Rewayat,,,,,,,unmapped,0.000,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/1d89a-fox-rewayat-2.png
208,Bein Channels,Ar||Bein_AMC_HD,Ar||Bein_AMC_HD,,,,,,,unmapped,0.000,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/26201-bein.png
220,Bein Channels,Ar||Bein_Baraem_HD,Ar||Bein_Baraem_HD,Baraem.qa,,,,,,unmapped,0.000,unmapped,source EPG id present but no target-country guide channel: Baraem.qa,https://cms123456.com/assets/uploads/files/26201-bein.png
28,Bein Channels,Ar||Bein_Bejunior_HD,Ar||Bein_Bejunior_HD,beJunior.qa,,,,,,unmapped,0.000,unmapped,source EPG id present but no target-country guide channel: beJunior.qa,https://cms123456.com/assets/uploads/files/26201-bein.png
221,Bein Channels,Ar||Bein_Boomerang_HD,Ar||Bein_Boomerang_HD,BoomerangMENAar.ae,,,,,,unmapped,0.000,unmapped,source EPG id present but no target-country guide channel: BoomerangMENAar.ae,https://cms123456.com/assets/uploads/files/26201-bein.png
222,Bein Channels,Ar||Bein_Cartoon_Network_HD,Ar||Bein_Cartoon_Network_HD,CartoonNetworkEn.qa,,,,,,unmapped,0.000,unmapped,source EPG id present but no target-country guide channel: CartoonNetworkEn.qa,https://cms123456.com/assets/uploads/files/26201-bein.png
218,Bein Channels,Ar||Bein_Discovery_Turbo_Xtra,Ar||Bein_Discovery_Turbo_Xtra,,,,,,,unmapped,0.000,unmapped,no reliable match in target-country guide channel set,
223,Bein Channels,Ar||Bein_Drama_HD1,Ar||Bein_Drama_HD1,Drama.qa,,,,,,unmapped,0.000,unmapped,source EPG id present but no target-country guide channel: Drama.qa,https://cms123456.com/assets/uploads/files/26201-bein.png
225,Bein Channels,Ar||Bein_Fatafeat,Ar||Bein_Fatafeat,Fatafeat.qa,,,,,,unmapped,0.000,unmapped,source EPG id present but no target-country guide channel: Fatafeat.qa,https://cms123456.com/assets/uploads/files/26201-bein.png
210,Bein Channels,Ar||Bein_Fox_Action_Movies_HD,Ar||Bein_Fox_Action_Movies_HD,FOXMoviesAction.qa,,,,,,unmapped,0.000,unmapped,source EPG id present but no target-country guide channel: FOXMoviesAction.qa,https://cms123456.com/assets/uploads/files/26201-bein.png
209,Bein Channels,Ar||Bein_Fox_Movies_HD,Ar||Bein_Fox_Movies_HD,,,,,,,unmapped,0.000,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/26201-bein.png
226,Bein Channels,Ar||Bein_Gourmet_HD,Ar||Bein_Gourmet_HD,Gourmet.qa,,,,,,unmapped,0.000,unmapped,source EPG id present but no target-country guide channel: Gourmet.qa,https://cms123456.com/assets/uploads/files/26201-bein.png
224,Bein Channels,Ar||Bein_HGTV_HD,Ar||Bein_HGTV_HD,HGTV.qa,,,,,,unmapped,0.000,unmapped,source EPG id present but no target-country guide channel: HGTV.qa,
202,Bein Channels,Ar||Bein_Movies_HD1,Ar||Bein_Movies_HD1,,,,,,,unmapped,0.000,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/26201-bein.png
203,Bein Channels,Ar||Bein_Movies_HD2,Ar||Bein_Movies_HD2,,,,,,,unmapped,0.000,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/26201-bein.png
204,Bein Channels,Ar||Bein_Movies_HD3,Ar||Bein_Movies_HD3,,,,,,,unmapped,0.000,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/26201-bein.png
205,Bein Channels,Ar||Bein_Movies_HD4,Ar||Bein_Movies_HD4,,,,,,,unmapped,0.000,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/26201-bein.png
211,Bein Channels,Ar||Bein_Nat_Geo,Ar||Bein_Nat_Geo,NationalGeographicAbuDhabi.ae,,,,,,unmapped,0.000,unmapped,source EPG id present but no target-country guide channel: NationalGeographicAbuDhabi.ae,https://cms123456.com/assets/uploads/files/26201-bein.png
212,Bein Channels,Ar||Bein_Nat_People,Ar||Bein_Nat_People,,,,,,,unmapped,0.000,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/26201-bein.png
213,Bein Channels,Ar||Bein_Nat_Wild,Ar||Bein_Nat_Wild,NatGeoWild.qa,,,,,,unmapped,0.000,unmapped,source EPG id present but no target-country guide channel: NatGeoWild.qa,https://cms123456.com/assets/uploads/files/26201-bein.png
214,Bein Channels,Ar||Bein_OutDoor_HD,Ar||Bein_OutDoor_HD,,,,,,,unmapped,0.000,unmapped,no reliable match in target-country guide channel set,
206,Bein Channels,Ar||Bein_Series_HD1,Ar||Bein_Series_HD1,beINSeries1.qa,,,,,,unmapped,0.000,unmapped,source EPG id present but no target-country guide channel: beINSeries1.qa,https://cms123456.com/assets/uploads/files/26201-bein.png
207,Bein Channels,Ar||Bein_Series_HD2,Ar||Bein_Series_HD2,beINSeries2.qa,,,,,,unmapped,0.000,unmapped,source EPG id present but no target-country guide channel: beINSeries2.qa,https://cms123456.com/assets/uploads/files/26201-bein.png
215,Bein Channels,Ar||Bein_Travel_HD,Ar||Bein_Travel_HD,TravelChannel.qa,,,,,,unmapped,0.000,unmapped,source EPG id present but no target-country guide channel: TravelChannel.qa,
216,Bein Channels,Ar||Bein_fox_Life_HD,Ar||Bein_fox_Life_HD,,,,,,,unmapped,0.000,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/26201-bein.png
217,Bein Channels,Ar||Bein_fox_crime_HD,Ar||Bein_fox_crime_HD,FoxCrime.qa,,,,,,unmapped,0.000,unmapped,source EPG id present but no target-country guide channel: FoxCrime.qa,https://cms123456.com/assets/uploads/files/26201-bein.png
219,Bein Channels,Ar||Bein_jeem_HD,Ar||Bein_jeem_HD,JeemTV.qa,,,,,,unmapped,0.000,unmapped,source EPG id present but no target-country guide channel: JeemTV.qa,
1794,Canada,"CBC (CBAT) Fredericton, NB HD",Canada- CBC Toronto HD,CA:CBATDT.ca,CA,CA:CBLTDT.ca,CBLT-DT,CA,ontvtonight.com;tvpassport.com;tvtv.us,manual_alias,1.000,ok,,https://i.imgur.com/xflShTG.png
1917,Canada,Canada- ABC Spark,Canada- ABC Spark,,CA,,,,,unmapped,0.526,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1886,Canada,Canada- ADDIK TV QC,Canada- ADDIK TV QC,,CA,CA:addikTV.ca,addikTV,CA,ontvtonight.com;tvhebdo.com;tvpassport.com,fuzzy_name_high,0.920,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1885,Canada,Canada- AMC Ca,Canada- AMC Ca,,CA,,,,,unmapped,0.667,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1833,Canada,Canada- AMC HD CA,Canada- AMC HD CA,,CA,,,,,unmapped,0.667,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1884,Canada,Canada- ARTV QC,Canada- ARTV QC,,CA,CA:IciARTV.ca,Ici ARTV,CA,tvhebdo.com;tvpassport.com,fuzzy_name_high,0.920,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1893,Canada,Canada- Animal Planet,Canada- Animal Planet,,CA,CA:AnimalPlanet.ca,Animal Planet,CA,tvhebdo.com;tvpassport.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1883,Canada,Canada- BEIN SPORTS CANADA,Canada- BEIN SPORTS CANADA,,CA,,,,,unmapped,0.783,unmapped,manual alias target not in target guide metadata: CA:beINSportsCanada.ca,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1831,Canada,Canada- BNN HD CA,Canada- BNN HD CA,,CA,,,,,unmapped,0.667,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1882,Canada,Canada- CANAL D QC,Canada- CANAL D QC,,CA,CA:CanalD.ca,Canal D,CA,tvhebdo.com;tvpassport.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1881,Canada,Canada- CANAL VIE QC,Canada- CANAL VIE QC,,CA,CA:CanalVie.ca,Canal Vie,CA,tvhebdo.com;tvpassport.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1880,Canada,Canada- CASA QC,Canada- CASA QC,,CA,CA:Casa.ca,Casa,CA,ontvtonight.com;tvhebdo.com;tvpassport.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1907,Canada,Canada- CBC Edmonton,Canada- CBC Edmonton,,CA,,,,,unmapped,0.571,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1830,Canada,Canada- CBC HD CA,Canada- CBC HD CA,,CA,,,,,unmapped,0.667,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1908,Canada,Canada- CBC Halifax,Canada- CBC Halifax,,CA,,,,,unmapped,0.533,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1879,Canada,Canada- CBC MONTREAL QC,Canada- CBC MONTREAL QC,,CA,CA:CBMTDT.ca,CBMT-DT,CA,tvhebdo.com;tvpassport.com;tvtv.us,manual_alias,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1829,Canada,Canada- CBC Montreal CA-FR,Canada- CBC Montreal CA-FR,,CA,CA:CBFTDT.ca,CBFT-DT,CA,ontvtonight.com;tvhebdo.com;tvtv.us,manual_alias,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1911,Canada,Canada- CBC News Network,Canada- CBC News Network,,CA,CA:CBCNewsNetwork.ca,CBC News Network,CA,i.mjh.nz;ontvtonight.com;plex.tv;tvhebdo.com;tvpassport.com;tvtv.us;xumo.tv,manual_alias,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1909,Canada,Canada- CBC OTTAWA,Canada- CBC OTTAWA,,CA,,,,,unmapped,0.625,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1828,Canada,Canada- CBC Toronto SD,Canada- CBC Toronto SD,,CA,CA:CBLTDT.ca,CBLT-DT,CA,ontvtonight.com;tvpassport.com;tvtv.us,manual_alias,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1827,Canada,Canada- CBC Vancouver HD CA,Canada- CBC Vancouver HD CA,,CA,CA:CBUTDT.ca,CBUT-DT,CA,ontvtonight.com;tvhebdo.com;tvpassport.com,manual_alias,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1910,Canada,Canada- CBC Winnipeg,Canada- CBC Winnipeg,,CA,,,,,unmapped,0.500,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1797,Canada,Canada- CBC-Toronto HD,Canada- CBC-Toronto HD,,CA,CA:CBLTDT.ca,CBLT-DT,CA,ontvtonight.com;tvpassport.com;tvtv.us,manual_alias,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1878,Canada,Canada- CHCH Ca,Canada- CHCH Ca,,CA,CA:CHCHDT.ca,CHCH-DT,CA,ontvtonight.com;tvpassport.com,fuzzy_name_high,0.920,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1826,Canada,Canada- CHCH HD CA,Canada- CHCH HD CA,,CA,CA:CHCHDT.ca,CHCH-DT,CA,ontvtonight.com;tvpassport.com,fuzzy_name_high,0.920,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1904,Canada,Canada- CITY TORONTO,Canada- CITY TORONTO,,CA,,,,,unmapped,0.632,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1905,Canada,Canada- CITYLGARY,Canada- CITYLGARY,,CA,,,,,unmapped,0.533,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
