uhf_pk,type,category,name,original_name,epg_channel_id,logo_url
98,0,Bein Channels,AR-beinJeem HD,AR-beinJeem HD,JeemTV.qa,https://cms123456.com/assets/uploads/files/04bfa-jeem_tv_qa.png
100,0,Bein Channels,Ar-Bein-Junior,Ar-Bein-Junior,,https://cms123456.com/assets/uploads/files/a578a-bejunior.jpg
509,0,Bein Channels,Ar||Bein BBC Earth,Ar||Bein BBC Earth,BBCEarth.qa,https://cms123456.com/assets/uploads/files/9143b-bbc-earth-hd-buyuk.png
508,0,Bein Channels,Ar||Bein Fox Rewayat,Ar||Bein Fox Rewayat,,https://cms123456.com/assets/uploads/files/1d89a-fox-rewayat-2.png
208,0,Bein Channels,Ar||Bein_AMC_HD,Ar||Bein_AMC_HD,,https://cms123456.com/assets/uploads/files/26201-bein.png
220,0,Bein Channels,Ar||Bein_Baraem_HD,Ar||Bein_Baraem_HD,Baraem.qa,https://cms123456.com/assets/uploads/files/26201-bein.png
28,0,Bein Channels,Ar||Bein_Bejunior_HD,Ar||Bein_Bejunior_HD,beJunior.qa,https://cms123456.com/assets/uploads/files/26201-bein.png
221,0,Bein Channels,Ar||Bein_Boomerang_HD,Ar||Bein_Boomerang_HD,BoomerangMENAar.ae,https://cms123456.com/assets/uploads/files/26201-bein.png
222,0,Bein Channels,Ar||Bein_Cartoon_Network_HD,Ar||Bein_Cartoon_Network_HD,CartoonNetworkEn.qa,https://cms123456.com/assets/uploads/files/26201-bein.png
218,0,Bein Channels,Ar||Bein_Discovery_Turbo_Xtra,Ar||Bein_Discovery_Turbo_Xtra,,
223,0,Bein Channels,Ar||Bein_Drama_HD1,Ar||Bein_Drama_HD1,Drama.qa,https://cms123456.com/assets/uploads/files/26201-bein.png
225,0,Bein Channels,Ar||Bein_Fatafeat,Ar||Bein_Fatafeat,Fatafeat.qa,https://cms123456.com/assets/uploads/files/26201-bein.png
210,0,Bein Channels,Ar||Bein_Fox_Action_Movies_HD,Ar||Bein_Fox_Action_Movies_HD,FOXMoviesAction.qa,https://cms123456.com/assets/uploads/files/26201-bein.png
209,0,Bein Channels,Ar||Bein_Fox_Movies_HD,Ar||Bein_Fox_Movies_HD,,https://cms123456.com/assets/uploads/files/26201-bein.png
226,0,Bein Channels,Ar||Bein_Gourmet_HD,Ar||Bein_Gourmet_HD,Gourmet.qa,https://cms123456.com/assets/uploads/files/26201-bein.png
224,0,Bein Channels,Ar||Bein_HGTV_HD,Ar||Bein_HGTV_HD,HGTV.qa,
202,0,Bein Channels,Ar||Bein_Movies_HD1,Ar||Bein_Movies_HD1,,https://cms123456.com/assets/uploads/files/26201-bein.png
203,0,Bein Channels,Ar||Bein_Movies_HD2,Ar||Bein_Movies_HD2,,https://cms123456.com/assets/uploads/files/26201-bein.png
204,0,Bein Channels,Ar||Bein_Movies_HD3,Ar||Bein_Movies_HD3,,https://cms123456.com/assets/uploads/files/26201-bein.png
205,0,Bein Channels,Ar||Bein_Movies_HD4,Ar||Bein_Movies_HD4,,https://cms123456.com/assets/uploads/files/26201-bein.png
211,0,Bein Channels,Ar||Bein_Nat_Geo,Ar||Bein_Nat_Geo,NationalGeographicAbuDhabi.ae,https://cms123456.com/assets/uploads/files/26201-bein.png
212,0,Bein Channels,Ar||Bein_Nat_People,Ar||Bein_Nat_People,,https://cms123456.com/assets/uploads/files/26201-bein.png
213,0,Bein Channels,Ar||Bein_Nat_Wild,Ar||Bein_Nat_Wild,NatGeoWild.qa,https://cms123456.com/assets/uploads/files/26201-bein.png
214,0,Bein Channels,Ar||Bein_OutDoor_HD,Ar||Bein_OutDoor_HD,,
206,0,Bein Channels,Ar||Bein_Series_HD1,Ar||Bein_Series_HD1,beINSeries1.qa,https://cms123456.com/assets/uploads/files/26201-bein.png
207,0,Bein Channels,Ar||Bein_Series_HD2,Ar||Bein_Series_HD2,beINSeries2.qa,https://cms123456.com/assets/uploads/files/26201-bein.png
215,0,Bein Channels,Ar||Bein_Travel_HD,Ar||Bein_Travel_HD,TravelChannel.qa,
216,0,Bein Channels,Ar||Bein_fox_Life_HD,Ar||Bein_fox_Life_HD,,https://cms123456.com/assets/uploads/files/26201-bein.png
217,0,Bein Channels,Ar||Bein_fox_crime_HD,Ar||Bein_fox_crime_HD,FoxCrime.qa,https://cms123456.com/assets/uploads/files/26201-bein.png
219,0,Bein Channels,Ar||Bein_jeem_HD,Ar||Bein_jeem_HD,JeemTV.qa,
1794,0,Canada,"CBC (CBAT) Fredericton, NB HD",Canada- CBC Toronto HD,!$!66F1AC9F-76BD-40AD-AA7D-6299B0BA0A8E!$!CA:CBATDT.ca,https://i.imgur.com/xflShTG.png
1917,0,Canada,Canada- ABC Spark,Canada- ABC Spark,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1886,0,Canada,Canada- ADDIK TV QC,Canada- ADDIK TV QC,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1885,0,Canada,Canada- AMC Ca,Canada- AMC Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1833,0,Canada,Canada- AMC HD CA,Canada- AMC HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1884,0,Canada,Canada- ARTV QC,Canada- ARTV QC,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1893,0,Canada,Canada- Animal Planet,Canada- Animal Planet,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1883,0,Canada,Canada- BEIN SPORTS CANADA,Canada- BEIN SPORTS CANADA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1831,0,Canada,Canada- BNN HD CA,Canada- BNN HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1882,0,Canada,Canada- CANAL D QC,Canada- CANAL D QC,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1881,0,Canada,Canada- CANAL VIE QC,Canada- CANAL VIE QC,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1880,0,Canada,Canada- CASA QC,Canada- CASA QC,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1907,0,Canada,Canada- CBC Edmonton,Canada- CBC Edmonton,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1830,0,Canada,Canada- CBC HD CA,Canada- CBC HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1908,0,Canada,Canada- CBC Halifax,Canada- CBC Halifax,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1879,0,Canada,Canada- CBC MONTREAL QC,Canada- CBC MONTREAL QC,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1829,0,Canada,Canada- CBC Montreal CA-FR,Canada- CBC Montreal CA-FR,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1911,0,Canada,Canada- CBC News Network,Canada- CBC News Network,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1909,0,Canada,Canada- CBC OTTAWA,Canada- CBC OTTAWA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1828,0,Canada,Canada- CBC Toronto SD,Canada- CBC Toronto SD,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1827,0,Canada,Canada- CBC Vancouver HD CA,Canada- CBC Vancouver HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1910,0,Canada,Canada- CBC Winnipeg,Canada- CBC Winnipeg,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1797,0,Canada,Canada- CBC-Toronto HD,Canada- CBC-Toronto HD,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1878,0,Canada,Canada- CHCH Ca,Canada- CHCH Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1826,0,Canada,Canada- CHCH HD CA,Canada- CHCH HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1904,0,Canada,Canada- CITY TORONTO,Canada- CITY TORONTO,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1905,0,Canada,Canada- CITYLGARY,Canada- CITYLGARY,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1912,0,Canada,Canada- COOKING CHANNEL,Canada- COOKING CHANNEL,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1900,0,Canada,Canada- COTTAGE LIFE,Canada- COTTAGE LIFE,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1877,0,Canada,Canada- CP24 Ca,Canada- CP24 Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1823,0,Canada,Canada- CP24 HD CA,Canada- CP24 HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1822,0,Canada,Canada- CPAC HD CA,Canada- CPAC HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1876,0,Canada,Canada- CPAC QC,Canada- CPAC QC,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1920,0,Canada,Canada- CTV 2 VANCOUVER,Canada- CTV 2 VANCOUVER,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1937,0,Canada,Canada- CTV Calgary,Canada- CTV Calgary,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1824,0,Canada,Canada- CTV Comedy HD  ca,Canada- CTV Comedy HD  ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1918,0,Canada,Canada- CTV Drama,Canada- CTV Drama,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1875,0,Canada,Canada- CTV MONTREAL Ca,Canada- CTV MONTREAL Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1795,0,Canada,Canada- CTV News HD,Canada- CTV News HD,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1821,0,Canada,Canada- CTV News Live Events 3 HD CA,Canada- CTV News Live Events 3 HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1915,0,Canada,Canada- CTV TORONTO,Canada- CTV TORONTO,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1916,0,Canada,Canada- CTV VANCOUVER,Canada- CTV VANCOUVER,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1899,0,Canada,Canada- CTV2 OTTAWA,Canada- CTV2 OTTAWA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1921,0,Canada,Canada- CTV2 OTTAWA,Canada- CTV2 OTTAWA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1926,0,Canada,Canada- Canal Savoir,Canada- Canal Savoir,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
