custom_xmltv_id,uhf_pk,category,name,target_xmltv_id,target_name,target_country,target_guide_sites,source_epg_channel_id,logo_url
uhf:1794,1794,Canada,"CBC (CBAT) Fredericton, NB HD",CA:CBLTDT.ca,CBLT-DT,CA,ontvtonight.com;tvpassport.com;tvtv.us,CA:CBATDT.ca,https://i.imgur.com/xflShTG.png
uhf:1886,1886,Canada,Canada- ADDIK TV QC,CA:addikTV.ca,addikTV,CA,ontvtonight.com;tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1884,1884,Canada,Canada- ARTV QC,CA:IciARTV.ca,Ici ARTV,CA,tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1893,1893,Canada,Canada- Animal Planet,CA:AnimalPlanet.ca,Animal Planet,CA,tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1882,1882,Canada,Canada- CANAL D QC,CA:CanalD.ca,Canal D,CA,tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1881,1881,Canada,Canada- CANAL VIE QC,CA:CanalVie.ca,Canal Vie,CA,tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1880,1880,Canada,Canada- CASA QC,CA:Casa.ca,Casa,CA,ontvtonight.com;tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1879,1879,Canada,Canada- CBC MONTREAL QC,CA:CBMTDT.ca,CBMT-DT,CA,tvhebdo.com;tvpassport.com;tvtv.us,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1829,1829,Canada,Canada- CBC Montreal CA-FR,CA:CBFTDT.ca,CBFT-DT,CA,ontvtonight.com;tvhebdo.com;tvtv.us,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1911,1911,Canada,Canada- CBC News Network,CA:CBCNewsNetwork.ca,CBC News Network,CA,i.mjh.nz;ontvtonight.com;plex.tv;tvhebdo.com;tvpassport.com;tvtv.us;xumo.tv,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1828,1828,Canada,Canada- CBC Toronto SD,CA:CBLTDT.ca,CBLT-DT,CA,ontvtonight.com;tvpassport.com;tvtv.us,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1827,1827,Canada,Canada- CBC Vancouver HD CA,CA:CBUTDT.ca,CBUT-DT,CA,ontvtonight.com;tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
